tweet_poster_screen_name,tweet_user_image,is_lead,tweet_body,user_location,gnip_matching_rules,created_at,updated_at,,,
regfromjerz,https://pbs.twimg.com/profile_images/2594299433/image_normal.jpg,No,"@littlepalooza Peace, thank you! Job, school, &amp; spot to lay head set. Just need to pack hustle and push forward",South Jersey ,hop OR hustle OR jig OR jitter OR jitterbug OR jive OR jump OR leap OR one-step OR prance OR promenade OR rhumba OR shimmy OR skip OR spin OR step OR strut OR sway,2014-07-30 14:23:18.70788,2014-07-30 14:23:18.70788,,,
BadKidsCo,https://pbs.twimg.com/profile_images/484337190936117248/YlpulIoH_normal.jpeg,No,"@stephh_ceee yeahh girl!!!! you are the baddest &lt;3 send us pics we wanna see you rock it!! did they play ""crave you""?",Philly/NYC,salsa OR disco OR rock OR samba OR tango OR waltz OR bob OR boogie OR caper OR careen OR cavort OR Charleston OR conga OR flit OR foxtrot OR frolic OR gambol,2014-07-30 14:23:18.729697,2014-07-30 14:23:18.729697,,,
Michael_Deacon7,https://pbs.twimg.com/profile_images/493381112282894338/5_dGaiM2_normal.jpeg,No,I just wanna skip to that part of life where I become attractive.,Gloversville New York,hop OR hustle OR jig OR jitter OR jitterbug OR jive OR jump OR leap OR one-step OR prance OR promenade OR rhumba OR shimmy OR skip OR spin OR step OR strut OR sway,2014-07-30 14:23:18.84892,2014-07-30 14:23:18.84892,,,
jenihead,https://pbs.twimg.com/profile_images/493003829319716866/L0Fnucor_normal.png,No,"the twin peaks soundtrack just would freak me out but it never haunted me like Evita, or Enya. Last Days of Disco was a good soundtrack.",South Jersey,salsa OR disco OR rock OR samba OR tango OR waltz OR bob OR boogie OR caper OR careen OR cavort OR Charleston OR conga OR flit OR foxtrot OR frolic OR gambol,2014-07-30 14:23:18.861318,2014-07-30 14:23:18.861318,,,
lukesawyer_ind,https://pbs.twimg.com/profile_images/451784282521210880/dtGYrjfn_normal.jpeg,No,"RT @_CrackHeart_: in the
masquerade ball
she hid him from all
behind her beauty's wall
she became his mask
love is blind
he stole her heart…",New York City NY,"""cut a rug"" OR ""foot it"" OR ""get down"" OR ""hoof it"" OR ""rock n' roll"" OR ""trip the light fantastic"" OR ballet OR caper OR cavort OR dandle OR flit OR gala OR prom OR ball",2014-07-30 14:23:18.873007,2014-07-30 14:23:18.873007,,,
jenihead,https://pbs.twimg.com/profile_images/493003829319716866/L0Fnucor_normal.png,Yes,but thats probably because i genuinely love disco.,South Jersey,salsa OR disco OR rock OR samba OR tango OR waltz OR bob OR boogie OR caper OR careen OR cavort OR Charleston OR conga OR flit OR foxtrot OR frolic OR gambol,2014-07-30 14:23:18.882766,2014-07-30 14:23:18.882766,,,
ABerggren75,https://pbs.twimg.com/profile_images/493379515268075520/iHULBQW6_normal.jpeg,No,So excited for tonight :-D off to see sleeping beauty ballet at the royal opera house!! I love my life &lt,3,NYC,"""cut a rug"" OR ""foot it"" OR ""get down"" OR ""hoof it"" OR ""rock n' roll"" OR ""trip the light fantastic"" OR ballet OR caper OR cavort OR dandle OR flit OR gala OR prom OR ball",2014-07-30 14:23:19.096777,2014-07-30 14:23:19.096777,,
getwhatugive,https://pbs.twimg.com/profile_images/3387525378/2977e5eab411bff3e1d86068900e813f_normal.jpeg,No,"@dgburris @AssessWell @PARCCPlace Difficult choice; $ for tech needs of online PARCC test or EI needs of students art teacher, field trip,,,",New York,swing OR tap OR tread OR trip OR twist OR two-step OR whirl OR boogie down OR bunny hop,2014-07-30 14:23:19.205755,2014-07-30 14:23:19.205755,,,
mssackstein,https://pbs.twimg.com/profile_images/458758206383091712/MCFXShNw_normal.jpeg,No,"@DrSpikeCook @alfiekohn I'm hoping to - I want to coach, this is my first step, I think",New York,hop OR hustle OR jig OR jitter OR jitterbug OR jive OR jump OR leap OR one-step OR prance OR promenade OR rhumba OR shimmy OR skip OR spin OR step OR strut OR sway,2014-07-30 14:23:19.221737,2014-07-30 14:23:19.221737,,,
ABerggren75,https://pbs.twimg.com/profile_images/493379515268075520/iHULBQW6_normal.jpeg,No,I just wanna skip to that part of life where I become attractive.,NYC,hop OR hustle OR jig OR jitter OR jitterbug OR jive OR jump OR leap OR one-step OR prance OR promenade OR rhumba OR shimmy OR skip OR spin OR step OR strut OR sway,2014-07-30 14:23:19.416539,2014-07-30 14:23:19.416539,,,
divarobbie,https://pbs.twimg.com/profile_images/483792000655695872/SN_1_3l2_normal.jpeg,Yes,@CaesarSamayoa @GhostlightDsgn Thanks so much Caesar! That makes me want to dance! 👯💃🎉👏,New York City,(dance OR dancing OR dances OR dancer OR danced) lang:en has:geo,2014-07-30 14:23:20.528184,2014-07-30 14:23:20.528184,,,
MissNikkiNY,https://pbs.twimg.com/profile_images/480561900007460864/MLAo-Emb_normal.jpeg,No,@itsjustcelle I just want my girls to be protected in case anything happens to me..too many times we hear awful stories abt step parents,"New York, Atlanta, Virginia ",hop OR hustle OR jig OR jitter OR jitterbug OR jive OR jump OR leap OR one-step OR prance OR promenade OR rhumba OR shimmy OR skip OR spin OR step OR strut OR sway,2014-07-30 14:23:21.313508,2014-07-30 14:23:21.313508,,,
mslea_MSarfati,https://pbs.twimg.com/profile_images/491021907941412864/e6COWag1_normal.jpeg,No,"@CoryAM_Monteith vale, voy a echar la salsa *asiente sonriendo cogiendo la olla empezando a echar toda la salsa que había sobre el pollo*",NYC/ LA,salsa OR disco OR rock OR samba OR tango OR waltz OR bob OR boogie OR caper OR careen OR cavort OR Charleston OR conga OR flit OR foxtrot OR frolic OR gambol,2014-07-30 14:23:22.199493,2014-07-30 14:23:22.199493,,,
